0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0.92979646,0.97437936,0.9410572,0.9127662,0.85162956,0.9484876,0.92595774,0.8442986,0.8552205,0.88990915,0.91182727,0.9327849,0.9205464,0.85855395,0.92672646,0.9286559,0.93072903,0.92372596,0.8648418,0.8695485,0.8602861,0.9051097,0.91504467,0.7703304,0.8738712,0.88391453,0.80788547,0.8493734,0.83886296,0.83096933,0.85481215
0.9123469,0.9786208,0.9405249,0.8923103,0.8445815,0.93928444,0.91400015,0.83859783,0.8056971,0.8797033,0.9070605,0.91178584,0.9074421,0.82735693,0.90732145,0.9106838,0.9248983,0.9237014,0.8493533,0.85132515,0.84548324,0.90109324,0.9179873,0.7674266,0.8491936,0.8792009,0.7927078,0.83712107,0.828844,0.8273872,0.84426415
0.9303334,0.97035974,0.9438892,0.9070347,0.8459033,0.9477913,0.9153733,0.8348794,0.8168335,0.88245875,0.91241676,0.92483747,0.9230127,0.8357276,0.91874206,0.9155881,0.93608433,0.92835534,0.8630397,0.8642225,0.8468964,0.90537626,0.91394275,0.77177876,0.8655269,0.8829197,0.7976732,0.8479699,0.83288234,0.82261795,0.8450585
0.93903816,0.9805717,0.94621956,0.9152372,0.85268223,0.9493129,0.92742866,0.84225273,0.81728345,0.87991726,0.92422456,0.9294353,0.9372723,0.83837795,0.9363763,0.93440163,0.933654,0.9325444,0.8648967,0.86830467,0.8500386,0.91531,0.92605597,0.75822574,0.86992663,0.8871155,0.7910258,0.85157484,0.83451176,0.8310962,0.8483887
0.94181967,0.97835493,0.95289165,0.92341757,0.8637312,0.95441824,0.9369881,0.8458843,0.8141251,0.87916154,0.937818,0.93974686,0.93989533,0.8466851,0.93737286,0.9432928,0.9499035,0.94913375,0.87553644,0.8697812,0.8547086,0.93675894,0.92636234,0.74001855,0.8779649,0.8929541,0.79382825,0.85541373,0.83675736,0.81933296,0.8521733
0.9534496,0.98250026,0.9646403,0.93232167,0.85316765,0.96172476,0.9358683,0.8569635,0.80993414,0.88147837,0.9382335,0.936575,0.9500837,0.85291594,0.95639586,0.95172435,0.94169295,0.95673597,0.87859935,0.86813647,0.85591346,0.9425848,0.93369853,0.7562722,0.88114476,0.8992528,0.79737884,0.8761547,0.83119035,0.84490204,0.863026
0.9612049,0.9816388,0.9640717,0.9457799,0.87289774,0.96457595,0.9450435,0.85497886,0.8189349,0.89770246,0.9455906,0.9432571,0.9580009,0.86581993,0.9560499,0.9590435,0.945863,0.9531307,0.89935416,0.8648969,0.86516535,0.9421765,0.92821205,0.73848987,0.8907406,0.9029539,0.7941903,0.8812174,0.83419764,0.8172612,0.87001413
0.95237833,0.9835134,0.9654161,0.9438671,0.85861915,0.9538389,0.9475695,0.8695526,0.80107266,0.8968826,0.94812536,0.95096457,0.94883376,0.8697332,0.95596665,0.9642794,0.9459558,0.9530916,0.9020513,0.85679376,0.8665093,0.9360287,0.9363641,0.7407009,0.8914951,0.9075047,0.7935276,0.89000034,0.8335516,0.8433906,0.86565185
0.9528215,0.98441815,0.9729079,0.9454975,0.8724968,0.96251464,0.94706726,0.86468565,0.7994452,0.9007351,0.9534422,0.94841385,0.94938123,0.8654363,0.94284546,0.96203184,0.9522396,0.95586497,0.90027255,0.8519249,0.8727299,0.93965596,0.9414332,0.7484095,0.8850585,0.90418625,0.80075735,0.8947797,0.8352091,0.8387058,0.8673191
0.9461786,0.981861,0.966442,0.94579536,0.8929378,0.94832224,0.9511034,0.8564651,0.80831933,0.8983424,0.9454893,0.94381857,0.9562084,0.8740329,0.94997513,0.9643741,0.95842177,0.9521765,0.9176338,0.862315,0.88192946,0.94865566,0.93874264,0.7641192,0.89492106,0.90828097,0.8190535,0.87494344,0.8523817,0.83331126,0.8697659
