0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
0.8190557,0.84833544,0.8321291,0.8508853,0.9339305,0.8998859,0.8467382,0.89900655,0.90024185,0.83796924,0.85896647,0.76734096,0.8309817,0.85613453,0.87052804,0.7930587,0.77227527,0.7706347,0.85592157,0.8045254,0.85343546,0.8223421,0.9480578,0.7825552,0.80815154,0.8338306,0.84975076,0.8636854,0.8531313,0.86344695,0.87324536,0.7883251,0.87323296,0.812184,0.8076335,0.8313603,0.8269975,0.8869459,0.8225122,0.79662067,0.81416386,0.7326725,0.8582171,0.82479566,0.7470182,0.90040445,0.7686572,0.8613031,0.87259775,0.83539385,0.8700957,0.8380575,0.82426554,0.8453864,0.8954819,0.8653484,0.77840745,0.8065393,0.8401981,0.8496283,0.7992105,0.7874288,0.79416615,0.83199036,0.83760756
0.8208034,0.8673674,0.8212452,0.8555628,0.94904804,0.885285,0.83477604,0.9015685,0.9082288,0.8279315,0.86145747,0.7668663,0.8253095,0.8596208,0.8526765,0.7894581,0.7747077,0.76936764,0.85848606,0.80278325,0.8342295,0.8289597,0.95150894,0.7677062,0.7934774,0.84474003,0.8557152,0.8658735,0.85868806,0.9184056,0.85073507,0.786933,0.88011444,0.76059186,0.815001,0.8233633,0.8443987,0.8846688,0.81921375,0.76818556,0.826488,0.7197968,0.8374781,0.8160366,0.75475633,0.8900119,0.74683595,0.8524377,0.8399639,0.85671884,0.8618953,0.8343543,0.7962685,0.826694,0.8897142,0.87195176,0.7668759,0.81606436,0.8425965,0.85928804,0.8161601,0.7941004,0.801985,0.81409985,0.84730875
0.80072194,0.8557648,0.83159083,0.8427663,0.930556,0.8883133,0.8308161,0.8860582,0.89607096,0.828112,0.8695695,0.74667484,0.8191951,0.8626732,0.8515165,0.80216926,0.76936877,0.76593196,0.86390716,0.7958988,0.83204144,0.82935625,0.95226496,0.7908048,0.79416686,0.8642436,0.8723891,0.8762158,0.8380513,0.9030486,0.84683925,0.7853573,0.8718485,0.7763407,0.8276378,0.82001096,0.8632052,0.8866206,0.82600915,0.7805852,0.81471694,0.71863914,0.8547789,0.8009832,0.77477944,0.9248156,0.7519375,0.8563211,0.84720457,0.8525735,0.88440573,0.8055171,0.81471455,0.84000546,0.89503497,0.87461394,0.7804226,0.8208226,0.8345669,0.86094284,0.79866874,0.7913104,0.8017997,0.8068193,0.8556027
0.82537884,0.8559698,0.8216623,0.8474303,0.94410545,0.90166616,0.8473557,0.9032971,0.9212464,0.8192557,0.88686436,0.7805534,0.83239335,0.86012554,0.86319286,0.7899027,0.794109,0.7610779,0.85263884,0.80649394,0.8411777,0.83459747,0.95362586,0.7766258,0.77498794,0.839837,0.8768411,0.8813757,0.8332056,0.92425865,0.8545381,0.806251,0.8766137,0.79399085,0.8231087,0.81987655,0.8742102,0.8781282,0.8104346,0.7740233,0.81905675,0.7090051,0.8394329,0.8054434,0.75097007,0.92006385,0.7409228,0.85884047,0.85457546,0.84480894,0.8808966,0.811737,0.81290567,0.8261811,0.9025757,0.89058685,0.7843358,0.8090827,0.8491887,0.8606219,0.8113834,0.77224666,0.79814005,0.80763674,0.8576708
0.8091841,0.8768742,0.80610317,0.8638247,0.95356345,0.91885245,0.8560741,0.89953977,0.9206162,0.8464372,0.8785904,0.74460894,0.825428,0.8839975,0.84771883,0.780195,0.7732024,0.7601918,0.8590545,0.8072428,0.84474444,0.8400933,0.96638024,0.7653002,0.80094796,0.8603395,0.87065446,0.8723708,0.84370637,0.93128675,0.85414714,0.7836061,0.8779196,0.7340287,0.7947768,0.8238123,0.87381124,0.907691,0.8042218,0.7772765,0.82318854,0.71948594,0.840873,0.81363916,0.7424291,0.92081356,0.7423634,0.85501975,0.8599438,0.8623767,0.88058054,0.8224054,0.8041704,0.82929134,0.9157378,0.9082584,0.7815489,0.8438516,0.8589793,0.8620995,0.8079965,0.7917411,0.7975044,0.82618135,0.85303694
0.8253263,0.8690747,0.7857583,0.86419165,0.9676815,0.9102201,0.8691091,0.9142911,0.9370007,0.88024133,0.89747995,0.74892884,0.8342969,0.86748457,0.879211,0.78726155,0.7723359,0.78867453,0.86201376,0.8201643,0.8405642,0.83816725,0.9655662,0.7839547,0.7886168,0.8706965,0.8763841,0.8910714,0.8374253,0.9251881,0.8510612,0.8013258,0.898445,0.7678497,0.8329228,0.7964359,0.8619018,0.90425223,0.8285697,0.76682264,0.8152954,0.7104331,0.8644859,0.8339074,0.7682257,0.9261448,0.74792475,0.8616592,0.84781003,0.85139066,0.8912148,0.81378204,0.823172,0.841243,0.91464996,0.8951693,0.7806535,0.8250163,0.8624117,0.8779622,0.82220554,0.7805347,0.80853164,0.8156062,0.87060016
0.8320468,0.87894905,0.81976044,0.8552361,0.96542895,0.90975255,0.8628956,0.9061258,0.93477094,0.8881632,0.89078456,0.7522429,0.82844853,0.8604824,0.881062,0.80991024,0.7799623,0.76279885,0.8758042,0.82639766,0.8114254,0.82662797,0.9713524,0.7882682,0.79255193,0.88599855,0.88877213,0.8953238,0.8419291,0.9358647,0.8586719,0.7985496,0.8788622,0.74548316,0.799218,0.80894953,0.86954564,0.9099697,0.80499893,0.7713435,0.80523336,0.6922094,0.86656773,0.83145833,0.7485193,0.93860894,0.7481962,0.8681646,0.8511253,0.8616421,0.8966349,0.8106905,0.82429427,0.84255916,0.9204866,0.89846915,0.793731,0.8322255,0.86437786,0.8931018,0.8216679,0.8004776,0.7928241,0.8190431,0.8413707
0.8312361,0.90037996,0.83159274,0.8657819,0.95137495,0.91288185,0.86874795,0.9056746,0.9413564,0.91242,0.8953441,0.78821015,0.8205701,0.87751746,0.8699409,0.8013488,0.79941714,0.78778994,0.8846526,0.81840485,0.8344342,0.85049963,0.9671269,0.7810329,0.7896077,0.879172,0.8806163,0.892927,0.85327816,0.9477532,0.8678393,0.7924184,0.87370116,0.73705554,0.81818366,0.8095893,0.8739421,0.9082421,0.80078053,0.76151466,0.8145082,0.7193601,0.87692213,0.84098667,0.75961006,0.94150305,0.75287473,0.86862224,0.83216476,0.8774064,0.8997774,0.81741,0.80815315,0.8316487,0.9331781,0.9014842,0.7949716,0.82240164,0.8621952,0.8827417,0.8254543,0.80879647,0.80535513,0.8164283,0.86812943
0.8210093,0.91825294,0.8149151,0.8666327,0.972997,0.92099607,0.8590834,0.89767075,0.9399255,0.8950093,0.8919893,0.7601743,0.81928873,0.88005984,0.88048947,0.7978326,0.80538595,0.79128045,0.86907077,0.831783,0.81559247,0.84140456,0.97243047,0.7798985,0.79631317,0.9178921,0.8714595,0.9057821,0.8397861,0.9371139,0.88291764,0.7977375,0.8875299,0.750452,0.80960774,0.8260007,0.8768152,0.8961533,0.8124974,0.7555076,0.8092526,0.7159262,0.86980975,0.81787294,0.75216454,0.9385053,0.74253035,0.8761154,0.82940894,0.87574697,0.901872,0.8178582,0.8100256,0.82751447,0.9325773,0.8918831,0.8074543,0.850582,0.8484433,0.87684464,0.8159039,0.79322124,0.81077754,0.8223179,0.85867196
0.82648003,0.90642846,0.8025594,0.85987586,0.96416783,0.9018543,0.86623895,0.88666916,0.9494915,0.90281546,0.9022726,0.75624377,0.8302422,0.86548126,0.9001653,0.7824349,0.7905425,0.7944793,0.8829742,0.83916646,0.83401364,0.84674644,0.97921777,0.7844903,0.804757,0.89680004,0.88678545,0.8911356,0.85183173,0.9530743,0.8727706,0.8081639,0.89273053,0.73166144,0.7942359,0.7973811,0.9179395,0.9225636,0.8276658,0.7500313,0.8220074,0.7145056,0.8788413,0.812257,0.75899,0.9378212,0.74336374,0.86100096,0.8174512,0.8788356,0.90902203,0.8127928,0.81325585,0.82079476,0.9274499,0.88349295,0.793035,0.84724396,0.8521608,0.88959837,0.8300233,0.80757594,0.80992705,0.8239697,0.85483795
