epoch,test_acc,test_acc_class_1,test_acc_class_2,test_acc_class_3,test_acc_class_4,test_acc_class_5,test_acc_class_6,test_acc_class_7,test_acc_class_8,test_acc_class_9,test_acc_class_10,test_acc_class_11,test_acc_class_12,test_acc_class_13,test_acc_class_14,test_acc_class_15,test_acc_class_16,test_acc_class_17,test_acc_class_18,test_acc_class_19,test_acc_class_20,test_acc_class_21,test_acc_class_22,test_acc_class_23,test_acc_class_24,test_acc_class_25,test_acc_class_26,test_acc_class_27,test_acc_class_28,test_acc_class_29,test_acc_class_30,test_acc_class_31,test_acc_class_32,test_acc_class_33,test_acc_class_34,test_acc_class_35,test_acc_class_36,test_acc_class_37,test_acc_class_38,test_acc_class_39,test_acc_class_40,test_acc_class_41,test_acc_class_42,test_acc_class_43,test_acc_class_44,test_acc_class_45,test_acc_class_46,test_acc_class_47,test_acc_class_48,test_acc_class_49,test_acc_class_50,test_acc_class_51,test_acc_class_52,test_acc_class_53,test_acc_class_54,test_acc_class_55,test_acc_class_56,test_acc_class_57,test_acc_class_58,test_acc_class_59,test_acc_class_60,test_acc_class_61,test_acc_class_62,test_acc_class_63,test_acc_class_64,test_acc_class_65
13,60.229095073145004,91.666664,83.92857,26.5625,71.42857,93.93939,76.76768,64.38356,95.652176,56.410255,83.83839,72.72727,65.0,50.50505,70.3125,95.2381,12.195122,58.333332,0.0,95.12195,72.0,85.0,92.5,90.90909,9.090909,45.901638,94.23077,48.484848,92.753624,77.5,57.575756,56.603775,80.0,93.93939,2.8169014,58.585857,35.0,63.157894,85.85859,21.686747,70.0,68.62745,70.0,35.353535,56.565655,9.756098,51.724136,82.5,84.78261,80.0,80.597015,61.61616,52.0,71.42857,30.952381,83.72093,60.65574,58.88889,45.0,55.555557,65.0,21.212122,64.10256,15.151515,50.943398,12.5
14,60.572737683517964,93.333336,89.28571,29.6875,67.34694,94.94949,76.76768,64.38356,93.478264,67.948715,88.888885,71.71717,70.0,43.434345,75.0,92.85714,9.756098,56.25,0.0,95.12195,78.0,77.5,100.0,89.89899,8.080808,50.81967,96.15385,33.333332,92.753624,77.5,58.585857,50.943398,80.0,92.92929,2.8169014,68.68687,35.0,57.894737,83.83839,14.457831,70.0,66.666664,70.0,43.434345,60.60606,9.756098,49.42529,77.5,84.78261,85.0,88.0597,64.64646,52.0,71.42857,42.857143,83.72093,57.37705,56.666668,51.666668,48.484848,62.5,23.232323,71.79487,14.141414,52.83019,17.5
15,60.801832761469576,93.333336,83.92857,26.5625,62.2449,93.93939,81.818184,64.38356,97.82609,60.25641,90.90909,73.73737,67.5,51.515152,78.125,90.47619,19.512196,52.083332,0.0,95.12195,76.0,77.5,100.0,92.92929,2.020202,47.540985,96.15385,38.38384,94.202896,77.5,57.575756,50.943398,80.0,91.91919,2.8169014,63.636364,37.5,59.210526,82.828285,27.710844,72.5,72.54902,72.5,45.454544,55.555557,7.3170733,50.57471,82.5,84.78261,85.0,80.597015,63.636364,53.333332,61.904762,26.190475,83.72093,63.934425,58.88889,50.0,49.49495,63.75,28.282827,69.23077,19.19192,49.056602,15.0
16,61.35166094016373,91.666664,89.28571,26.5625,63.265305,93.93939,76.76768,65.753426,97.82609,61.53846,94.94949,75.757576,70.0,44.444443,79.6875,92.85714,17.073172,52.083332,0.0,97.560974,74.0,77.5,92.5,92.92929,5.050505,45.901638,94.23077,41.414143,88.4058,77.5,58.585857,50.943398,82.5,92.92929,2.8169014,71.71717,32.5,64.47369,84.84849,30.120481,72.5,68.62745,75.0,44.444443,51.515152,7.3170733,44.827587,82.5,82.608696,87.5,92.537315,61.61616,52.0,66.666664,28.571428,88.37209,62.295082,60.0,53.333332,56.565655,62.5,24.242424,69.23077,23.232323,50.943398,17.5
17,61.94730813156425,91.666664,89.28571,28.125,69.38776,93.93939,79.79798,65.753426,97.82609,61.53846,93.93939,74.747475,65.0,46.464645,78.125,95.2381,19.512196,52.083332,0.0,95.12195,82.0,85.0,97.5,91.91919,11.111111,47.540985,96.15385,41.414143,94.202896,77.5,59.59596,49.056602,77.5,91.91919,2.8169014,66.666664,42.5,64.47369,87.878784,24.096386,70.0,70.588234,75.0,45.454544,62.626263,7.3170733,56.32184,77.5,89.13043,87.5,88.0597,52.525253,52.0,69.04762,33.333332,81.39535,60.65574,58.88889,53.333332,51.515152,65.0,23.232323,66.666664,25.252525,50.943398,12.5
18,62.5429553238387,95.0,92.85714,32.8125,69.38776,93.93939,81.818184,63.0137,97.82609,60.25641,92.92929,72.72727,70.0,49.49495,79.6875,92.85714,12.195122,52.083332,0.0,95.12195,80.0,80.0,92.5,89.89899,16.161615,49.18033,96.15385,48.484848,92.753624,77.5,61.61616,58.490566,82.5,91.91919,2.8169014,62.626263,32.5,68.42105,87.878784,25.301205,67.5,68.62745,75.0,53.535355,57.575756,7.3170733,51.724136,82.5,84.78261,87.5,86.56716,58.585857,52.0,66.666664,38.095238,88.37209,59.01639,64.44444,53.333332,52.525253,65.0,19.19192,76.92308,23.232323,50.943398,17.5
19,62.58877433872988,93.333336,89.28571,26.5625,70.408165,93.93939,79.79798,65.753426,97.82609,71.79487,93.93939,74.747475,62.5,42.424244,78.125,92.85714,14.634147,52.083332,0.0,95.12195,80.0,77.5,97.5,89.89899,17.171717,49.18033,96.15385,46.464645,89.85507,77.5,59.59596,52.83019,80.0,92.92929,2.8169014,69.69697,52.5,57.894737,85.85859,26.506023,72.5,68.62745,75.0,47.474747,65.65656,14.634147,48.275864,77.5,89.13043,85.0,86.56716,65.65656,52.0,78.57143,30.952381,86.04651,52.459015,55.555557,55.0,57.575756,62.5,21.212122,74.35897,23.232323,54.71698,20.0
22,63.13860251742403,91.666664,91.07143,29.6875,69.38776,93.93939,79.79798,64.38356,97.82609,61.53846,94.94949,77.77778,67.5,46.464645,81.25,95.2381,12.195122,52.083332,0.0,92.68293,80.0,77.5,92.5,95.959595,4.040404,54.098362,96.15385,53.535355,92.753624,77.5,57.575756,52.83019,77.5,94.94949,2.8169014,68.68687,62.5,59.210526,85.85859,34.93976,72.5,64.70588,77.5,55.555557,60.60606,17.073172,44.827587,80.0,91.304344,85.0,94.029854,60.60606,50.666668,73.809525,26.190475,88.37209,65.57377,60.0,60.0,53.535355,62.5,21.212122,74.35897,25.252525,49.056602,20.0
25,63.18442153231521,95.0,91.07143,29.6875,67.34694,93.93939,79.79798,61.643837,97.82609,60.25641,94.94949,75.757576,72.5,52.525253,82.8125,92.85714,24.390244,54.166668,0.0,95.12195,78.0,80.0,97.5,96.969696,11.111111,52.459015,96.15385,48.484848,94.202896,77.5,59.59596,50.943398,77.5,92.92929,2.8169014,61.61616,47.5,65.789474,84.84849,40.963856,70.0,66.666664,77.5,53.535355,65.65656,14.634147,43.67816,80.0,86.95652,90.0,91.04478,53.535355,52.0,78.57143,30.952381,88.37209,62.295082,56.666668,58.333332,53.535355,60.0,19.19192,74.35897,27.272728,54.71698,20.0
27,63.89461625963279,93.333336,91.07143,29.6875,70.408165,93.93939,83.83839,63.0137,97.82609,60.25641,94.94949,79.79798,72.5,56.565655,76.5625,95.2381,24.390244,54.166668,0.0,97.560974,80.0,80.0,95.0,96.969696,5.050505,55.737705,96.15385,58.585857,95.652176,80.0,61.61616,52.83019,72.5,94.94949,2.8169014,61.61616,42.5,69.73684,85.85859,36.144577,70.0,66.666664,75.0,49.49495,68.68687,14.634147,42.528736,80.0,86.95652,90.0,86.56716,63.636364,52.0,78.57143,38.095238,90.69768,63.934425,56.666668,58.333332,54.545456,60.0,23.232323,74.35897,24.242424,47.16981,25.0
28,63.96334478896098,93.333336,91.07143,29.6875,70.408165,93.93939,83.83839,61.643837,97.82609,60.25641,96.969696,75.757576,72.5,47.474747,78.125,92.85714,19.512196,56.25,0.0,95.12195,82.0,82.5,95.0,98.9899,16.161615,57.37705,96.15385,46.464645,91.304344,85.0,59.59596,58.490566,82.5,94.94949,2.8169014,76.76768,52.5,61.842106,84.84849,44.578312,70.0,66.666664,70.0,51.515152,61.61616,7.3170733,56.32184,77.5,86.95652,92.5,89.55224,53.535355,50.666668,78.57143,38.095238,95.34884,59.01639,61.11111,58.333332,54.545456,56.25,20.20202,71.79487,24.242424,54.71698,17.5
29,64.21534936736676,91.666664,91.07143,29.6875,67.34694,93.93939,82.828285,64.38356,97.82609,70.51282,95.959595,77.77778,72.5,51.515152,79.6875,95.2381,29.268293,54.166668,2.5,97.560974,80.0,82.5,95.0,96.969696,12.121212,55.737705,96.15385,50.50505,91.304344,87.5,60.60606,56.603775,75.0,94.94949,4.2253523,75.757576,55.0,65.789474,82.828285,44.578312,70.0,68.62745,75.0,45.454544,60.60606,2.4390244,62.068966,80.0,89.13043,90.0,85.07462,47.474747,53.333332,78.57143,26.190475,93.023254,68.85246,58.88889,58.333332,51.515152,60.0,22.222221,71.79487,25.252525,47.16981,37.5
31,64.26116838662759,91.666664,91.07143,31.25,69.38776,94.94949,83.83839,63.0137,97.82609,61.53846,95.959595,84.84849,77.5,46.464645,79.6875,90.47619,26.829268,60.416668,0.0,100.0,82.0,82.5,97.5,96.969696,11.111111,55.737705,96.15385,49.49495,92.753624,85.0,60.60606,54.71698,80.0,94.94949,2.8169014,68.68687,55.0,69.73684,82.828285,34.93976,67.5,64.70588,75.0,53.535355,61.61616,7.3170733,51.724136,80.0,89.13043,92.5,83.58209,46.464645,54.666668,78.57143,23.809525,90.69768,67.21311,60.0,56.666668,53.535355,58.75,27.272728,74.35897,26.262627,47.16981,60.0
