0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
0.8190557,0.84833544,0.8321291,0.8508853,0.9339305,0.8998859,0.8467382,0.89900655,0.90024185,0.83796924,0.85896647,0.76734096,0.8309817,0.85613453,0.87052804,0.7930587,0.77227527,0.7706347,0.85592157,0.8045254,0.85343546,0.8223421,0.9480578,0.7825552,0.80815154,0.8338306,0.84975076,0.8636854,0.8531313,0.86344695,0.87324536,0.7883251,0.87323296,0.812184,0.8076335,0.8313603,0.8269975,0.8869459,0.8225122,0.79662067,0.81416386,0.7326725,0.8582171,0.82479566,0.7470182,0.90040445,0.7686572,0.8613031,0.87259775,0.83539385,0.8700957,0.8380575,0.82426554,0.8453864,0.8954819,0.8653484,0.77840745,0.8065393,0.8401981,0.8496283,0.7992105,0.7874288,0.79416615,0.83199036,0.83760756
0.830824,0.8648467,0.8180171,0.8544966,0.94895416,0.885277,0.83527476,0.90314054,0.9102572,0.82769257,0.8595218,0.7678817,0.8241671,0.85727143,0.85149515,0.789965,0.774428,0.7703912,0.85675424,0.80253255,0.83358425,0.82951736,0.94875056,0.7620917,0.79639995,0.84763235,0.8516035,0.86568063,0.8624104,0.91872364,0.8477872,0.7816765,0.8798783,0.7379079,0.813018,0.8201215,0.8440844,0.88588184,0.81844777,0.7651682,0.824381,0.72092503,0.8377036,0.81412536,0.7618186,0.8892682,0.7474445,0.8513656,0.8398471,0.8543743,0.86053026,0.8353099,0.7947825,0.8271948,0.887822,0.87236464,0.7644617,0.81794626,0.84263337,0.8574704,0.8183315,0.8051661,0.8026961,0.81374687,0.8469653
0.80029273,0.85170114,0.8246973,0.8413009,0.92696387,0.8841322,0.8315328,0.883117,0.892672,0.8193591,0.86530626,0.744388,0.8141401,0.86307275,0.851466,0.80027443,0.7695478,0.7658614,0.86465883,0.79439783,0.8343898,0.8300705,0.9467195,0.7892205,0.7958075,0.8645929,0.87098813,0.8717715,0.83787256,0.9011859,0.8417099,0.7815702,0.87022895,0.7739933,0.82332474,0.81689316,0.8601818,0.8859353,0.825303,0.7833019,0.8162484,0.7208795,0.8516579,0.80044365,0.7719988,0.92337835,0.74844265,0.8518093,0.8467214,0.85077393,0.88048327,0.80330914,0.81872135,0.8392154,0.8930725,0.8709829,0.7845878,0.8150984,0.832521,0.8614931,0.79560333,0.7854025,0.80254287,0.79857755,0.85156894
0.8221284,0.85248214,0.8122513,0.8446786,0.9381969,0.8919553,0.84118813,0.90183926,0.9069737,0.80417484,0.88381916,0.76920295,0.8275818,0.8610302,0.8565313,0.7893686,0.7840368,0.76088834,0.8508372,0.80438304,0.8456394,0.8344141,0.9437455,0.7766179,0.7744175,0.8302475,0.8692685,0.8776105,0.8334017,0.91667134,0.8470725,0.8049597,0.8752906,0.7797992,0.81675565,0.8215375,0.8705581,0.87342364,0.8099908,0.7763989,0.8112804,0.71175206,0.8375156,0.80957085,0.7584944,0.9155123,0.7375369,0.8553375,0.8541193,0.8431217,0.87052405,0.8056376,0.8134945,0.8239017,0.8946708,0.88147855,0.7820081,0.80503297,0.8482789,0.8563524,0.81026065,0.77165514,0.7961469,0.80482244,0.85273075
0.8103244,0.8687939,0.79018474,0.8595258,0.93948245,0.9042777,0.8517901,0.89473766,0.9064719,0.8174178,0.87260455,0.73411936,0.8160692,0.8774281,0.8468281,0.7722058,0.7664532,0.7561632,0.85215765,0.8070371,0.8408842,0.8350835,0.95760214,0.77115554,0.7968925,0.845843,0.8600267,0.86377275,0.8435454,0.92053574,0.84870476,0.77717304,0.87524647,0.74078363,0.7866553,0.8165843,0.8644646,0.90292966,0.79455656,0.7857181,0.82182574,0.7174908,0.83328944,0.81373227,0.734423,0.9137371,0.74918073,0.85335064,0.8598964,0.85468775,0.87005967,0.820459,0.8117037,0.82490975,0.9046436,0.895873,0.7875006,0.8392083,0.8545901,0.85359323,0.80507445,0.78957206,0.7967654,0.8216601,0.8511554
0.8300356,0.8539219,0.78676504,0.8552408,0.95554924,0.8989809,0.8598395,0.90599126,0.91974914,0.83754647,0.8837535,0.7498822,0.8176647,0.86269784,0.8775038,0.79185206,0.7692054,0.7860012,0.85695755,0.8141993,0.8343084,0.8362446,0.95406985,0.7890187,0.78221565,0.8501742,0.85417175,0.8768961,0.83033276,0.91081166,0.8431063,0.7945496,0.8947773,0.7819307,0.8202957,0.7919866,0.84961945,0.89406055,0.8222488,0.77883035,0.8022208,0.71138304,0.85010463,0.83199525,0.77060866,0.91523135,0.7530187,0.8530452,0.845067,0.8489275,0.8801632,0.8084196,0.8231975,0.841207,0.9019837,0.88087964,0.7781191,0.8183554,0.86381286,0.8663174,0.8189635,0.7780724,0.80683255,0.8156166,0.86539054
0.8276812,0.8541669,0.8094836,0.8513976,0.95309585,0.8938911,0.85215825,0.9069201,0.9168258,0.83750045,0.8765139,0.76300436,0.8200794,0.8580268,0.86710596,0.80635285,0.7754888,0.75958526,0.8650551,0.8209917,0.8078518,0.8229329,0.9579039,0.788882,0.7898678,0.85371983,0.8786318,0.88073003,0.8391329,0.91828185,0.84448695,0.7898164,0.87018675,0.78339183,0.7969961,0.7880869,0.8655087,0.8982621,0.804023,0.7824173,0.80136085,0.70240134,0.84813744,0.8269285,0.7402956,0.9250175,0.7537986,0.8563452,0.8490067,0.8521065,0.88574445,0.81523025,0.8257269,0.8365291,0.8970907,0.8841753,0.7792362,0.821836,0.8577085,0.88177836,0.81793785,0.7798724,0.79730046,0.8177073,0.83851
0.8281941,0.88839304,0.8342263,0.85497236,0.9404955,0.91114414,0.86435264,0.9135296,0.92628825,0.87307423,0.88374823,0.7498303,0.82225674,0.8751398,0.85669565,0.8005359,0.7937406,0.77982104,0.87968,0.8181983,0.83700895,0.8444801,0.9473959,0.77633387,0.7900801,0.8556078,0.8705544,0.8848386,0.85296273,0.9370996,0.8631495,0.78892887,0.8707759,0.7485855,0.8155838,0.8032484,0.86606073,0.8940229,0.8023829,0.77112186,0.8087798,0.7166675,0.8673552,0.84061146,0.76100665,0.93191636,0.75191176,0.86364514,0.8354283,0.8661795,0.8906027,0.82591146,0.81193733,0.82398486,0.92981803,0.9020834,0.77957976,0.81523347,0.8559401,0.8743206,0.8243288,0.8130901,0.81053483,0.80993676,0.8653807
0.8273664,0.9159615,0.8179002,0.8646062,0.9627077,0.914499,0.8596259,0.9186437,0.9328863,0.8897906,0.8872081,0.7649284,0.82476443,0.87722534,0.87209785,0.8072766,0.79261065,0.7898417,0.8632454,0.8390559,0.82260776,0.8377139,0.959196,0.7821485,0.80096465,0.89091414,0.86334866,0.89385754,0.84239256,0.9181439,0.88690865,0.79719096,0.89025575,0.75484747,0.80933374,0.82331747,0.86503446,0.8890193,0.8191654,0.772173,0.80799943,0.71154094,0.8627247,0.82689667,0.76034826,0.92225546,0.75321186,0.8733275,0.83862317,0.87048846,0.89286554,0.82272166,0.8049635,0.83802706,0.92898685,0.8956269,0.7973439,0.8444498,0.8475843,0.8602042,0.8126869,0.8060031,0.80997103,0.82069254,0.8601496
0.8355775,0.9059322,0.8137641,0.8624655,0.9530763,0.90124047,0.86590785,0.90599453,0.9483865,0.90739083,0.8925406,0.7628771,0.8431119,0.88167316,0.91102767,0.8153025,0.78107464,0.8099078,0.88708836,0.83447134,0.84212196,0.8493627,0.96621567,0.7854742,0.7927423,0.8807175,0.8816069,0.87546873,0.8544228,0.93988276,0.8712723,0.8074972,0.9001565,0.7570788,0.7976103,0.8023764,0.89879096,0.9191737,0.8273984,0.76755023,0.822303,0.7218708,0.8824697,0.84072363,0.7788724,0.9261592,0.76115274,0.8657492,0.83202124,0.88361466,0.90026766,0.8180132,0.8087363,0.83496803,0.92640555,0.8899897,0.7997626,0.8371528,0.86486584,0.8760098,0.8294868,0.81611854,0.8212666,0.8296236,0.85226184
