0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
0.9477036,0.8778315,0.88647884,0.9216551,0.9284833,0.88308764,0.8708957,0.90092367,0.91413784,0.91504973,0.87846994,0.8880062,0.83084595,0.8814842,0.93141633,0.83210945,0.8586867,0.8450458,0.9231248,0.87880105,0.9237043,0.939723,0.9571446,0.8722811,0.8708052,0.9154339,0.8246214,0.89248985,0.9202651,0.9079817,0.9040756,0.9099949,0.87878823,0.8142261,0.7960564,0.8476548,0.9062231,0.953159,0.8492379,0.88582516,0.8896069,0.90843433,0.87716883,0.8507248,0.9152066,0.84481794,0.92769945,0.86977285,0.8583688,0.9254639,0.8930457,0.90806544,0.8658717,0.8725003,0.9258259,0.87972826,0.8712698,0.9060684,0.87214625,0.8645855,0.8827926,0.8718358,0.89096355,0.8450492,0.90683293
0.9377654,0.8729277,0.89588124,0.91182405,0.9376349,0.87965363,0.8713228,0.9153207,0.92457944,0.9175189,0.87266535,0.87244767,0.8595502,0.9041977,0.9199173,0.85283494,0.8438086,0.8728142,0.9236169,0.894417,0.9098062,0.93173295,0.94882476,0.8054185,0.8577859,0.9292261,0.82991934,0.88106877,0.90472275,0.9513464,0.89846593,0.9050202,0.9006441,0.5,0.84049845,0.84832704,0.910391,0.9411222,0.83557403,0.8989008,0.8743543,0.89462763,0.866996,0.85615116,0.91283596,0.87926674,0.93346965,0.86933833,0.8599042,0.9180375,0.88302135,0.92544013,0.87047243,0.87443453,0.9167862,0.8739697,0.8770836,0.9108872,0.87227696,0.8524802,0.8938646,0.8769987,0.8725373,0.8841005,0.91685885
0.9363413,0.8808385,0.89810956,0.91761535,0.93203187,0.8735723,0.86517423,0.9112194,0.9047341,0.92009103,0.8656386,0.8777352,0.8401277,0.9040405,0.9339785,0.84452945,0.8473642,0.86876386,0.9263708,0.8768353,0.9059085,0.9299223,0.94966865,0.8342077,0.8612069,0.936883,0.82435143,0.89469373,0.91026556,0.92287093,0.8961349,0.90320414,0.8825935,0.5,0.8149691,0.84735173,0.89935476,0.9365388,0.8561665,0.87034047,0.8678247,0.875954,0.8813591,0.851967,0.92367285,0.8502384,0.9174956,0.8738144,0.83711827,0.9217882,0.88366044,0.9168299,0.8646997,0.8712424,0.9257374,0.84907067,0.8851725,0.8938654,0.8708014,0.84457886,0.8639402,0.8816044,0.8861933,0.83775306,0.9116198
0.9542646,0.87725455,0.90779287,0.9304989,0.92691976,0.8784443,0.8734881,0.90102977,0.92983454,0.9277087,0.86448395,0.88626105,0.8568647,0.919084,0.92555493,0.8397007,0.85683674,0.8541725,0.9218216,0.89210564,0.91846883,0.937699,0.959255,0.88387805,0.85712576,0.9360216,0.8164259,0.88000405,0.90381074,0.93641114,0.8966834,0.8991992,0.89020467,0.5,0.8365713,0.84142303,0.9279054,0.9445832,0.8514215,0.8510828,0.8828207,0.8994974,0.8743647,0.8271092,0.927705,0.8556562,0.93052495,0.8560747,0.85806614,0.9194507,0.8807912,0.9237207,0.86968076,0.8815542,0.9344363,0.89682734,0.87829286,0.9004428,0.86015147,0.8493387,0.8854984,0.8701207,0.9021824,0.8372908,0.91868556
0.95869756,0.88924944,0.88944083,0.91814274,0.9264781,0.86396396,0.87915707,0.9086032,0.93062747,0.9250302,0.8732874,0.89320874,0.8303644,0.92243713,0.9409442,0.855226,0.87203836,0.8669754,0.93149495,0.88010406,0.9118732,0.9405674,0.96521306,0.82445014,0.86849767,0.95047534,0.81812346,0.8847933,0.9112763,0.92383343,0.9299609,0.9118998,0.8806797,0.7925612,0.81275403,0.8553975,0.9271594,0.9477115,0.8447016,0.8801853,0.89857876,0.91701066,0.8873558,0.85303634,0.9166493,0.87008667,0.925766,0.8774598,0.85946715,0.9048704,0.8853742,0.9366964,0.87432635,0.8715176,0.94410634,0.87824965,0.86684656,0.9320168,0.8652676,0.84169495,0.8809215,0.8683729,0.90327644,0.8458431,0.9129817
0.9451746,0.89729434,0.90823233,0.92022896,0.9337428,0.8846246,0.88568753,0.8997206,0.93774503,0.9280458,0.86244494,0.88020766,0.8537231,0.90478927,0.94240475,0.8449461,0.851503,0.8616637,0.9358721,0.8854418,0.92606914,0.9369883,0.96384585,0.8804377,0.83585846,0.9476679,0.8264827,0.8767578,0.9206938,0.9190818,0.9095019,0.9122445,0.8952039,0.7680324,0.83785015,0.84251285,0.90334713,0.9617679,0.8484599,0.88339233,0.8720797,0.9216351,0.8901831,0.852298,0.9346796,0.8578084,0.93411726,0.8804542,0.86365634,0.92898786,0.890162,0.933716,0.88349646,0.8604828,0.9274387,0.8958394,0.8744282,0.9144551,0.8782515,0.8453686,0.87815166,0.8747346,0.9128035,0.85203135,0.9352518
0.956577,0.8895133,0.9098239,0.9367412,0.9532462,0.8757054,0.8721262,0.90709317,0.9415981,0.9275874,0.89357316,0.8875622,0.8572447,0.91816586,0.94237673,0.85898525,0.80043864,0.86280954,0.94691616,0.9004703,0.9290333,0.944058,0.9489266,0.87808514,0.8480326,0.947476,0.8314907,0.8874628,0.9183991,0.9475464,0.92072403,0.91454065,0.8915183,0.8377552,0.839361,0.8628366,0.9169657,0.9523085,0.85702527,0.8737174,0.87166137,0.92644936,0.88147783,0.83771443,0.93346214,0.8736516,0.9385528,0.87244123,0.87277514,0.9347215,0.8931511,0.9264643,0.8708936,0.8784692,0.9343485,0.8654612,0.8914469,0.91331965,0.8719992,0.8654946,0.88331,0.87554336,0.8975353,0.8600876,0.94008803
0.9639577,0.90552706,0.91082776,0.93133783,0.9681455,0.88486,0.8984286,0.91878265,0.94587946,0.9266401,0.8974824,0.8949225,0.84278023,0.9134933,0.9619647,0.85939544,0.8681461,0.86865354,0.93793255,0.9109735,0.9399124,0.9489057,0.9679053,0.8543417,0.86395943,0.9485971,0.8235111,0.88754207,0.92540646,0.95016056,0.91973764,0.9197372,0.90105516,0.5,0.82780105,0.84623605,0.92534596,0.9686242,0.8678825,0.8846405,0.86818975,0.9313142,0.8975213,0.8566042,0.9344559,0.87125534,0.9251,0.8838103,0.8786067,0.9361475,0.8809266,0.9263605,0.86056465,0.88955843,0.9562451,0.8970024,0.90740436,0.90994453,0.8871398,0.838328,0.89701647,0.8986032,0.9078869,0.8421669,0.94137007
0.97347736,0.902097,0.92628014,0.9344187,0.96198684,0.90186733,0.8955827,0.91408104,0.9529296,0.9424284,0.9211849,0.8922177,0.8437416,0.9353466,0.96428347,0.8593186,0.8877394,0.85189486,0.95084375,0.92171615,0.94157666,0.9542,0.9679429,0.8760444,0.8613111,0.9611599,0.8290173,0.891597,0.9310661,0.9607617,0.93707657,0.91914535,0.90129465,0.8153391,0.8294502,0.8631482,0.9303116,0.95672077,0.8694302,0.89350456,0.8667645,0.92849845,0.90192693,0.8470361,0.9413065,0.8584719,0.93387574,0.894609,0.8919029,0.9419428,0.8957829,0.9411163,0.87997645,0.8933789,0.95809513,0.91157514,0.9119176,0.9280001,0.9114146,0.8510741,0.89305073,0.90041757,0.83605045,0.8926886,0.94299257
0.96636987,0.90729874,0.9219395,0.9159504,0.9739765,0.9189166,0.9017715,0.93131053,0.9410219,0.9291912,0.9145055,0.88660693,0.8323431,0.937904,0.9711648,0.86691874,0.88075304,0.84493655,0.9359869,0.92014766,0.9399265,0.9505347,0.972286,0.8958233,0.853551,0.95982647,0.8526907,0.9041671,0.93873316,0.95742214,0.94337314,0.9256446,0.90670973,0.821883,0.8443333,0.8531798,0.94025284,0.98125386,0.8777881,0.92193633,0.8803297,0.9466595,0.911732,0.86141324,0.947335,0.88191575,0.9507477,0.91430104,0.8852913,0.9401327,0.9020462,0.9287402,0.886524,0.9212886,0.957504,0.8899075,0.90532255,0.9230391,0.91221887,0.85248756,0.90035564,0.91720945,0.84616584,0.91791546,0.9315767
