epoch,test_acc,test_acc_class_1,test_acc_class_2,test_acc_class_3,test_acc_class_4,test_acc_class_5,test_acc_class_6,test_acc_class_7,test_acc_class_8,test_acc_class_9,test_acc_class_10,test_acc_class_11,test_acc_class_12,test_acc_class_13,test_acc_class_14,test_acc_class_15,test_acc_class_16,test_acc_class_17,test_acc_class_18,test_acc_class_19,test_acc_class_20,test_acc_class_21,test_acc_class_22,test_acc_class_23,test_acc_class_24,test_acc_class_25,test_acc_class_26,test_acc_class_27,test_acc_class_28,test_acc_class_29,test_acc_class_30,test_acc_class_31
32,79.37522186723464,96.73913,97.560974,98.611115,86.585365,77.77778,96.80851,90.10989,72.16495,56.70103,74.07407,89.89899,92.0,92.0,72.44898,98.0,93.93939,94.0,94.680855,88.541664,77.89474,69.89247,95.0,89.79592,25.510204,83.333336,68.0,58.0,72.72727,28.282827,64.583336,67.1875
35,79.83670571529997,95.652176,97.560974,98.611115,86.585365,69.44444,96.80851,91.20879,73.19588,68.04124,74.07407,91.91919,92.0,92.0,74.4898,96.0,91.91919,93.0,92.55319,83.333336,77.89474,67.741936,96.0,90.81633,23.469387,85.55556,66.666664,54.0,74.747475,29.292929,73.958336,75.0
38,79.90770323038694,95.652176,96.34146,98.611115,86.585365,66.666664,96.80851,90.10989,80.41237,67.01031,71.604935,92.92929,91.0,93.0,73.46939,99.0,92.92929,96.0,93.61702,84.375,80.0,69.89247,95.0,90.81633,28.571428,85.55556,66.666664,46.0,76.76768,28.282827,65.625,73.4375
39,79.97870074547392,96.73913,98.78049,98.611115,87.80488,66.666664,96.80851,90.10989,76.28866,65.97938,72.83951,91.91919,91.0,92.0,74.4898,98.0,91.91919,96.0,92.55319,85.416664,81.052635,69.89247,95.0,90.81633,28.571428,85.55556,68.0,49.0,74.747475,32.32323,64.583336,71.875
40,80.7596734114306,96.73913,97.560974,98.611115,87.80488,66.666664,94.680855,91.20879,80.41237,64.948456,72.83951,92.92929,92.0,92.0,73.46939,99.0,92.92929,95.0,93.61702,91.666664,80.0,69.89247,96.0,89.79592,28.571428,82.22222,66.666664,53.0,80.80808,30.30303,72.916664,73.4375
43,81.15015974440895,96.73913,97.560974,98.611115,89.02439,66.666664,96.80851,89.01099,78.35052,71.13402,71.604935,91.91919,91.0,94.0,73.46939,99.0,92.92929,96.0,93.61702,86.458336,86.31579,70.96774,95.0,89.79592,26.530613,84.44444,69.333336,60.0,77.77778,32.32323,69.791664,73.4375
50,81.18565850195243,96.73913,96.34146,98.611115,87.80488,69.44444,96.80851,90.10989,77.31959,71.13402,71.604935,93.93939,92.0,92.0,75.5102,100.0,94.94949,95.0,94.680855,89.583336,84.210526,68.81721,95.0,89.79592,27.55102,85.55556,66.666664,49.0,80.80808,32.32323,73.958336,75.0
51,81.29215477458288,96.73913,96.34146,98.611115,89.02439,66.666664,96.80851,90.10989,78.35052,70.103096,75.30864,92.92929,92.0,92.0,74.4898,97.0,93.93939,94.0,93.61702,92.708336,83.1579,70.96774,95.0,89.79592,28.571428,84.44444,66.666664,52.0,81.818184,34.343433,71.875,75.0
52,81.68264110756124,96.73913,97.560974,98.611115,89.02439,69.44444,97.87234,90.10989,78.35052,72.16495,71.604935,91.91919,92.0,93.0,75.5102,99.0,93.93939,96.0,93.61702,85.416664,84.210526,69.89247,95.0,89.79592,29.591837,85.55556,66.666664,59.0,82.828285,33.333332,71.875,78.125
54,81.96663116790913,97.82609,96.34146,98.611115,87.80488,66.666664,96.80851,91.20879,78.35052,73.19588,71.604935,93.93939,92.0,93.0,76.53061,98.0,93.93939,95.0,93.61702,84.375,86.31579,68.81721,95.0,90.81633,29.591837,88.888885,69.333336,63.0,76.76768,31.313131,80.208336,75.0
