,0,1
0,-10.127975,-28.753353
1,-7.8797307,-27.542543
2,-8.595165,-30.268633
3,-9.389073,-28.059147
4,-6.3470197,-28.709673
5,-5.687829,-21.683147
6,-8.174619,-26.549702
7,-8.962766,-27.21929
8,-7.372609,-25.465153
9,-6.866777,-27.416544
10,-10.153669,-26.81453
11,-10.478479,-27.011877
12,-8.530007,-25.993853
13,-10.608722,-23.02935
14,-12.782538,-26.881279
15,-7.2501903,-25.550045
16,-9.188299,-26.666595
17,-8.89411,-28.68157
18,-9.340064,-25.786129
19,-12.641848,-25.282804
20,-7.263256,-28.575607
21,-7.6123843,-23.806202
22,-9.772657,-27.498293
23,-6.0628376,-24.20078
24,-10.33701,-28.513426
25,-7.6887054,-23.610336
26,-12.604712,-28.54041
27,-7.149013,-27.388754
28,-4.2213345,-29.149536
29,-7.499763,-30.681107
30,-4.350996,-29.150919
31,-4.6133323,-26.174757
32,-8.734979,-30.017385
33,-7.534407,-27.023603
34,-6.400885,-28.6645
35,-5.6332293,-29.980026
36,-8.389113,-24.894056
37,-6.6194925,-27.608984
38,-12.75718,-26.912348
39,-8.974157,-23.835152
40,-8.666483,-27.447762
41,-3.8399072,-27.111528
42,-9.778302,-23.324842
43,-10.600072,-25.277676
44,-5.65263,-28.10756
45,-6.582106,-29.078941
46,-10.5696945,-28.488186
47,-7.854264,-31.148252
48,-6.989816,-25.071554
49,29.28993,22.233967
50,-5.7874494,-24.120148
51,-7.5498414,-29.423828
52,-11.30846,-26.188679
53,-6.651904,-24.625076
54,-10.092854,-28.870764
55,-5.166175,-25.166737
56,-9.012273,-21.258495
57,-8.858117,-28.987703
58,-10.995062,-27.425165
59,-10.621934,-29.214628
60,-9.23109,-27.53125
61,-9.351325,-26.862783
62,-6.665984,-26.500887
63,-7.5639076,-24.783115
64,-11.218916,-24.681723
65,-10.225397,-26.894049
66,-5.0432343,-26.141865
67,-5.6462855,-26.826729
68,-3.2234707,-27.21137
69,-10.005881,-29.641832
70,-11.425765,-27.483873
71,-5.0244746,-26.307318
72,-8.993142,-21.251385
73,-6.6213336,-31.33878
74,-9.471814,-28.084503
75,-10.965458,-22.879393
76,-7.733011,-27.524748
77,-9.432095,-28.103464
78,-9.3032,-31.31082
79,-8.315507,-28.665369
80,-8.767541,-24.258692
81,-6.731882,-30.338514
82,-11.049695,-22.82985
83,-6.101244,-22.16641
84,-5.0367403,-23.847034
85,-2.7195098,-25.38574
86,-9.658007,-25.010044
87,-12.600465,-28.566626
88,-7.6923647,-28.16443
89,-10.697589,-25.7415
90,-8.429389,-24.827087
91,-9.554951,-30.605165
92,-74.620056,7.78971
93,-73.89107,7.452322
94,-73.45148,5.5248194
95,-73.28053,7.8167624
96,-77.471115,5.310855
97,-76.25804,3.2428281
98,-76.13577,10.048864
99,-72.53165,3.578844
100,-72.498024,4.3380113
101,-72.15262,6.6401877
102,-72.759,1.0380778
103,-70.51475,7.7384696
104,-75.899216,6.7605853
105,-74.07903,1.7702342
106,-76.250305,5.9885683
107,-78.56896,6.1980925
108,-74.11807,4.8761077
109,-72.14055,6.7396016
110,-75.62918,4.786048
111,-81.017075,3.2833278
112,-77.910515,6.3500075
113,-77.22229,5.9693937
114,-76.49215,4.7147956
115,-70.699455,8.917709
116,-76.76555,4.0557313
117,-72.43281,0.654311
118,-76.29277,3.3740988
119,-75.751686,5.9002895
120,-70.71368,8.938688
121,-73.537254,3.1376534
122,-76.08186,5.6695514
123,-74.82995,7.5176196
124,-74.35227,1.185434
125,-72.41792,4.579631
126,-74.002884,5.6744375
