0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0.8711123,0.93563676,0.8982626,0.830339,0.80607635,0.9006151,0.8563582,0.7823522,0.782945,0.79114497,0.8760729,0.8714404,0.884995,0.79799414,0.8801576,0.8498318,0.88674706,0.880618,0.8411854,0.7531677,0.74699104,0.8842404,0.8640733,0.75635904,0.81207174,0.78604174,0.6931391,0.8065819,0.7878817,0.82459635,0.78689855
0.8574317,0.945951,0.90010816,0.809623,0.79395556,0.88376814,0.85037,0.78083533,0.7504004,0.77786154,0.865433,0.85262275,0.8739918,0.78665924,0.8442585,0.8277599,0.87205756,0.8792932,0.81702363,0.73069954,0.7310577,0.87713003,0.8666537,0.713461,0.78210306,0.7685881,0.6689319,0.7940054,0.76623756,0.80333036,0.7613407
0.8514005,0.9432905,0.90781367,0.8073235,0.7899914,0.89414495,0.84641296,0.7810286,0.74820405,0.77416134,0.85848314,0.8593249,0.86790913,0.78422654,0.8471785,0.8246101,0.8745406,0.8781091,0.829366,0.73394823,0.7280237,0.87550163,0.8628104,0.7257079,0.7871655,0.769749,0.6588869,0.7858778,0.7691933,0.80052686,0.7619042
0.86981905,0.94079196,0.91179144,0.81026876,0.770207,0.90158844,0.85468686,0.76556087,0.7491553,0.76496845,0.86888963,0.85768837,0.88071156,0.77444,0.8601899,0.84949803,0.8798526,0.88319856,0.84476393,0.73960614,0.71622914,0.88642836,0.8621782,0.7194584,0.7797234,0.7681405,0.6553223,0.7823198,0.7664447,0.8154724,0.7615181
0.86322105,0.9495432,0.91231805,0.8191274,0.7756088,0.89421666,0.8584029,0.76629215,0.69829476,0.7694905,0.88246554,0.8590329,0.8831948,0.7589804,0.881231,0.87059414,0.8889715,0.8930297,0.8516648,0.75374514,0.7083048,0.89362746,0.8682134,0.70558155,0.7865811,0.7623868,0.65106994,0.78665113,0.7528819,0.80318,0.75279266
0.8606856,0.94378686,0.9148875,0.8169938,0.7702602,0.9039546,0.8682587,0.7669196,0.7708857,0.7489883,0.8825124,0.86252105,0.87677103,0.7523078,0.8928938,0.876989,0.8968106,0.90584296,0.86840206,0.7541199,0.711244,0.88434774,0.8726338,0.6911033,0.77445745,0.7730928,0.6413444,0.77485925,0.73754454,0.8035921,0.7567433
0.8748091,0.9392372,0.92568755,0.81173986,0.7701245,0.8892925,0.86865896,0.77041304,0.73539585,0.75610566,0.8876177,0.8621762,0.886155,0.7399115,0.89339435,0.88361907,0.9006883,0.8976896,0.8676763,0.7708543,0.6997103,0.89201564,0.8650538,0.68005157,0.78090936,0.7797897,0.64332384,0.7772434,0.7409252,0.7981398,0.74779886
0.88748515,0.95484924,0.91969943,0.81089836,0.7570246,0.90342057,0.85942096,0.7555767,0.7327065,0.75366795,0.88758594,0.8593251,0.8773003,0.7312878,0.8784537,0.8827796,0.9090529,0.8934989,0.9024149,0.76608,0.7055237,0.8871228,0.8727502,0.68406767,0.7872692,0.77446866,0.6373341,0.781952,0.7285793,0.8065787,0.74261653
0.87662876,0.95101815,0.92181784,0.7977275,0.7464414,0.90081286,0.86034226,0.7374167,0.7280357,0.7537695,0.8815664,0.86138475,0.87161887,0.7487749,0.8823145,0.8900793,0.90110207,0.90579677,0.8951142,0.76581264,0.714969,0.8934512,0.86489344,0.6826789,0.8012473,0.7852428,0.64075667,0.77943975,0.72988534,0.7924291,0.7362071
0.89110893,0.9503006,0.92688626,0.80003095,0.75085664,0.89913225,0.8577783,0.7516694,0.6925991,0.75034595,0.88628054,0.86706966,0.8935844,0.7305679,0.87047863,0.8967016,0.8964069,0.90699404,0.88568205,0.776109,0.7206825,0.8950137,0.8569788,0.63945675,0.81524336,0.7846954,0.64597696,0.78033155,0.73874027,0.82111794,0.7472592
