0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0.94785357,0.96526426,0.94273967,0.82294065,0.9502049,0.94754946,0.95125973,0.8850643,0.84702986,0.91348886,0.9292674,0.9298036,0.83273244,0.9203467,0.86438125,0.8265989,0.932347,0.9232304,0.9167929,0.94732404,0.8706179,0.9335699,0.8713188,0.8958782,0.9093822,0.88334906,0.9402881,0.87161547,0.87836653,0.8448432,0.86921424
0.9338636,0.97239584,0.94397324,0.8387248,0.94539446,0.9479616,0.9490636,0.8747107,0.8525205,0.9242647,0.91505826,0.8791665,0.8351478,0.8898308,0.8337333,0.8119968,0.91794324,0.93464386,0.9402742,0.9382787,0.88116574,0.92342293,0.8548253,0.8832151,0.86968374,0.880514,0.93519866,0.85885984,0.8584632,0.8351213,0.85239786
0.9417037,0.9504363,0.9378789,0.84601057,0.9410688,0.93522143,0.9281884,0.8793577,0.8072712,0.930349,0.9192733,0.8820976,0.7992781,0.8984863,0.8598295,0.7697823,0.9016275,0.9104661,0.92762023,0.9516517,0.862655,0.910038,0.86130524,0.8768501,0.8541037,0.8628961,0.92038685,0.86646,0.85074615,0.8491955,0.83137
0.94834346,0.966988,0.9394152,0.8412391,0.93989515,0.9527402,0.9363729,0.8811728,0.82424426,0.92249197,0.9235442,0.88323504,0.8245313,0.9054195,0.8218553,0.7924337,0.9325399,0.93398756,0.93922096,0.9494129,0.88704854,0.9247058,0.833773,0.8978755,0.8453692,0.9064686,0.91923517,0.8503754,0.86059177,0.842884,0.85222495
0.94996357,0.9728935,0.948641,0.8518802,0.9548981,0.9316343,0.9466291,0.9059374,0.8147018,0.9213902,0.9420639,0.91308016,0.8399402,0.905159,0.80693513,0.7939384,0.94564104,0.92273957,0.9331714,0.9491917,0.8826135,0.9310329,0.85060126,0.8972497,0.87084156,0.9216107,0.93217504,0.84610873,0.8717472,0.8560796,0.8533747
0.96171385,0.98002934,0.9488518,0.85751987,0.93760324,0.9429805,0.9520225,0.8943887,0.83747834,0.9419136,0.9542483,0.8942047,0.84012175,0.9000508,0.8507131,0.8228168,0.94133025,0.9166217,0.9613874,0.9689137,0.8793194,0.9410758,0.8236181,0.90044117,0.84699786,0.9422639,0.9384579,0.8395189,0.861503,0.8549206,0.86766046
0.96866965,0.9759275,0.9529853,0.91829854,0.9403482,0.9519006,0.94910413,0.8936203,0.8254408,0.93715394,0.96117437,0.926765,0.86648583,0.9223164,0.827155,0.81710035,0.9141333,0.8877984,0.959441,0.9636389,0.87900144,0.9370169,0.82966506,0.90186703,0.8660058,0.9262303,0.93826336,0.81441337,0.86048836,0.8751937,0.89405656
0.9768155,0.9827826,0.95345265,0.9064176,0.9599808,0.95640475,0.9707123,0.92770696,0.830157,0.9664538,0.97234505,0.8321598,0.8528375,0.92676777,0.77881324,0.83556575,0.93379956,0.8922743,0.95890117,0.96452856,0.89383936,0.9584124,0.8087103,0.91890395,0.8771916,0.9264981,0.9357611,0.8354641,0.85669637,0.8635245,0.85635006
0.97600496,0.9866928,0.9461906,0.91071534,0.9209899,0.96989673,0.9728417,0.9612198,0.8558644,0.975182,0.978885,0.84035295,0.88026625,0.91396177,0.8163347,0.8357575,0.9496927,0.88279986,0.9667033,0.9314974,0.89031416,0.954082,0.806811,0.92099106,0.85394645,0.86876374,0.9021218,0.86480683,0.87294835,0.86418486,0.86129403
0.9726856,0.989315,0.9642224,0.9385711,0.9578738,0.9440163,0.9821864,0.9399785,0.8166665,0.9698549,0.9779822,0.89414954,0.8754921,0.904497,0.80023557,0.8751344,0.97432506,0.85847247,0.97103083,0.94695354,0.91075313,0.95824146,0.82101333,0.9353162,0.88815707,0.8159686,0.92425376,0.89008623,0.84821314,0.88966537,0.8524272
0.9778626,0.9825917,0.9636324,0.9752599,0.938747,0.97831714,0.9805924,0.92896664,0.84439903,0.9399086,0.9765301,0.8579621,0.84638435,0.9130457,0.79990536,0.8500788,0.95749086,0.86973816,0.9623017,0.9256261,0.92168474,0.9396753,0.80929035,0.93006074,0.9026959,0.9032508,0.9370825,0.8905194,0.8625784,0.85060555,0.84933716
0.9732135,0.9871973,0.9537388,0.9706817,0.9590707,0.9657989,0.9776294,0.96650034,0.8552276,0.92239696,0.9699166,0.8656157,0.8390569,0.92058176,0.77560574,0.8635651,0.9699388,0.9161802,0.9436132,0.8710803,0.9129328,0.9444068,0.8098146,0.9419709,0.92894495,0.9026682,0.936519,0.87858325,0.86355317,0.8679478,0.8499265
0.96505916,0.9841149,0.96471095,0.96058077,0.90408576,0.97114736,0.9644546,0.9610282,0.85479915,0.95254904,0.9666321,0.88297796,0.84664947,0.9337081,0.7692392,0.87568516,0.94370663,0.89011264,0.92425954,0.9583897,0.8941288,0.96905875,0.8046454,0.9305279,0.9037993,0.83497465,0.9495499,0.8844272,0.82864726,0.8640233,0.8653695
0.9834503,0.9795939,0.9758835,0.9725696,0.9211763,0.9706328,0.9810219,0.94648576,0.83203036,0.9666151,0.95877886,0.90302944,0.8680773,0.94595116,0.79622465,0.8712211,0.93662333,0.89558744,0.9677974,0.95622593,0.8987746,0.95703673,0.7896919,0.92324615,0.9054966,0.8523783,0.9428937,0.88616,0.8398492,0.8550791,0.840907
0.98014426,0.9846599,0.9801385,0.96584886,0.8969634,0.9643772,0.97220767,0.9273932,0.8657192,0.9491443,0.94609547,0.8612546,0.8593403,0.94557834,0.79119563,0.8734715,0.9338566,0.8793341,0.96694297,0.97618574,0.87285495,0.94720495,0.7872728,0.92351884,0.9044625,0.957811,0.947427,0.8634192,0.8638312,0.86201555,0.8859217
0.96581477,0.99112624,0.97480845,0.95587254,0.89698565,0.9806049,0.9710885,0.9019567,0.8535899,0.9580448,0.98520905,0.8433578,0.8404392,0.9641984,0.8197671,0.87661886,0.91414076,0.91461676,0.95548177,0.97644925,0.90436584,0.94391024,0.7804707,0.92186195,0.89402604,0.9318548,0.93219227,0.8754923,0.87751645,0.8407384,0.92115706
0.9632663,0.9896105,0.9768042,0.94451106,0.9060263,0.9662229,0.94913703,0.91982496,0.8575114,0.9408495,0.98433495,0.95550686,0.8478934,0.94580704,0.79817593,0.86012787,0.91474,0.8999033,0.9129151,0.96058315,0.89731383,0.91517586,0.8147135,0.925318,0.9177333,0.9703069,0.92831916,0.8715744,0.8702242,0.8759609,0.8725767
0.97547805,0.9915582,0.96702915,0.931772,0.9129909,0.97414804,0.970959,0.91628706,0.87668145,0.93605787,0.9849274,0.9720937,0.82761097,0.9446243,0.8176289,0.86224854,0.94072247,0.8862605,0.88567376,0.96434885,0.90884495,0.9581088,0.80675036,0.9509137,0.8785452,0.84263194,0.9228343,0.85230356,0.8802531,0.86846185,0.8394164
0.97903717,0.98575324,0.9749467,0.89771044,0.9215739,0.94440633,0.9564377,0.91040754,0.8780114,0.9287573,0.97959095,0.95449644,0.83412606,0.9405661,0.7880785,0.86905646,0.93860614,0.9001527,0.92409396,0.9733482,0.8931742,0.93850887,0.7798474,0.95301354,0.8824592,0.9656156,0.91988367,0.8424953,0.88218135,0.8524666,0.8369402
0.97368675,0.9851242,0.9872686,0.8985595,0.87120855,0.9472173,0.9759488,0.91544986,0.8997824,0.95900905,0.9803864,0.92452115,0.85453445,0.95169735,0.7810688,0.8764318,0.92909044,0.8997288,0.9530017,0.97418517,0.893765,0.9679784,0.771945,0.95067835,0.86603856,0.94932115,0.93531597,0.82431155,0.8656759,0.8583218,0.84373575
0.973456,0.983278,0.98134637,0.9430461,0.8892718,0.9294362,0.9620064,0.8999093,0.8821191,0.9541256,0.9809043,0.9100451,0.8490715,0.95162904,0.7921523,0.85398525,0.9250188,0.82941425,0.90510213,0.9620682,0.90071017,0.9663963,0.7866683,0.93603295,0.85741377,0.96047825,0.935308,0.8419271,0.88232976,0.84720874,0.83832073
0.96710545,0.98801965,0.9743356,0.96225417,0.89358974,0.936894,0.9797289,0.8917594,0.85663235,0.96058947,0.96678424,0.9000212,0.8597528,0.95736146,0.7716882,0.8723157,0.9295205,0.9079315,0.9374021,0.9883262,0.9102955,0.949566,0.7919039,0.9272409,0.9081988,0.8466633,0.9386783,0.8626178,0.89651793,0.8667249,0.8816957
0.9743712,0.9720796,0.9609456,0.9577475,0.8798433,0.97009075,0.9617937,0.9090265,0.85772693,0.965762,0.9671641,0.8746651,0.87158597,0.9427032,0.79744595,0.85966206,0.93304855,0.9077471,0.9584972,0.97593606,0.92575246,0.96130544,0.81980294,0.91560477,0.90639776,0.90057623,0.94152004,0.88093334,0.89470804,0.8616291,0.8876972
0.9675649,0.9827078,0.9732058,0.9384616,0.8966826,0.9690748,0.9591083,0.9029564,0.8837513,0.98036987,0.94787174,0.9764591,0.85555995,0.9502191,0.7473659,0.8729635,0.939925,0.9310011,0.9744535,0.88973916,0.9093444,0.96843123,0.82031435,0.92802435,0.90397274,0.9136363,0.93092096,0.85648364,0.89765465,0.8588436,0.8507916
0.9714408,0.98955864,0.96781373,0.9227219,0.88511324,0.96348274,0.9783615,0.903365,0.8805196,0.91817904,0.983868,0.9368637,0.8556062,0.91673726,0.7801622,0.8721354,0.928488,0.87779355,0.9738195,0.92969227,0.9074534,0.9519375,0.80721205,0.9309048,0.91145885,0.88166726,0.91585535,0.8587368,0.88972515,0.86876386,0.87587845
