epoch,test_acc,test_acc_class_1,test_acc_class_2,test_acc_class_3,test_acc_class_4,test_acc_class_5,test_acc_class_6,test_acc_class_7,test_acc_class_8,test_acc_class_9,test_acc_class_10,test_acc_class_11,test_acc_class_12,test_acc_class_13,test_acc_class_14,test_acc_class_15,test_acc_class_16,test_acc_class_17,test_acc_class_18,test_acc_class_19,test_acc_class_20,test_acc_class_21,test_acc_class_22,test_acc_class_23,test_acc_class_24,test_acc_class_25,test_acc_class_26,test_acc_class_27,test_acc_class_28,test_acc_class_29,test_acc_class_30,test_acc_class_31
47,81.71813986510472,95.652176,97.560974,98.611115,81.70731,75.0,96.80851,93.40659,78.35052,69.07217,67.90124,91.91919,91.0,91.0,75.5102,93.0,94.94949,96.0,93.61702,86.458336,84.210526,72.043015,95.0,89.79592,40.816326,91.111115,73.333336,53.0,80.80808,35.353535,73.958336,75.0
50,82.0021299254526,95.652176,100.0,98.611115,82.92683,75.0,97.87234,94.50549,78.35052,67.01031,67.90124,92.92929,91.0,93.0,75.5102,97.0,93.93939,97.0,94.680855,85.416664,89.47369,70.96774,96.0,88.77551,37.7551,85.55556,70.666664,54.0,84.84849,28.282827,77.083336,79.6875
51,82.39261625843095,95.652176,100.0,98.611115,82.92683,77.77778,96.80851,94.50549,78.35052,67.01031,71.604935,93.93939,91.0,93.0,78.57143,98.0,93.93939,96.0,95.74468,88.541664,87.36842,73.11828,96.0,89.79592,40.816326,85.55556,72.0,51.0,84.84849,25.252525,78.125,79.6875
53,82.92509762158325,95.652176,100.0,98.611115,85.36585,75.0,95.74468,95.60439,77.31959,70.103096,71.604935,91.91919,90.0,94.0,77.55102,98.0,94.94949,97.0,94.680855,89.583336,88.42105,70.96774,96.0,90.81633,42.857143,85.55556,73.333336,60.0,82.828285,27.272728,78.125,81.25
58,83.06709265175719,97.82609,100.0,100.0,87.80488,77.77778,97.87234,95.60439,78.35052,72.16495,71.604935,92.92929,91.0,95.0,79.591835,98.0,92.92929,96.0,92.55319,83.333336,86.31579,72.043015,97.0,90.81633,39.795918,84.44444,68.0,60.0,85.85859,28.282827,79.166664,84.375
62,83.38658146964856,97.82609,100.0,100.0,86.585365,75.0,96.80851,96.7033,78.35052,68.04124,71.604935,94.94949,93.0,94.0,79.591835,97.0,94.94949,96.0,94.680855,88.541664,87.36842,74.19355,96.0,90.81633,41.836735,87.77778,68.0,57.0,87.878784,24.242424,81.25,84.375
67,83.5285764998225,97.82609,100.0,98.611115,86.585365,69.44444,96.80851,93.40659,78.35052,72.16495,72.83951,92.92929,92.0,94.0,80.61224,95.0,93.93939,97.0,95.74468,90.625,89.47369,73.11828,97.0,91.83673,45.918365,87.77778,68.0,55.0,86.86869,23.232323,84.375,84.375
68,83.63507277245296,97.82609,100.0,98.611115,86.585365,75.0,96.80851,94.50549,78.35052,72.16495,72.83951,92.92929,92.0,93.0,81.63265,96.0,92.92929,97.0,95.74468,89.583336,88.42105,73.11828,97.0,90.81633,45.918365,87.77778,69.333336,54.0,88.888885,24.242424,84.375,84.375
70,83.84806531771387,97.82609,100.0,98.611115,87.80488,69.44444,96.80851,96.7033,79.38145,72.16495,72.83951,93.93939,91.0,93.0,80.61224,97.0,94.94949,96.0,95.74468,89.583336,85.26316,72.043015,95.0,91.83673,45.918365,86.666664,69.333336,61.0,89.89899,26.262627,83.333336,84.375
72,84.06105786297479,97.82609,100.0,100.0,86.585365,77.77778,96.80851,94.50549,79.38145,72.16495,72.83951,93.93939,92.0,93.0,81.63265,97.0,96.969696,97.0,94.680855,89.583336,87.36842,72.043015,96.0,90.81633,44.89796,87.77778,70.666664,56.0,91.91919,26.262627,83.333336,85.9375
78,84.59353922612709,97.82609,100.0,100.0,87.80488,75.0,96.80851,94.50549,79.38145,71.13402,74.07407,92.92929,92.0,94.0,79.591835,99.0,94.94949,97.0,94.680855,91.666664,88.42105,72.043015,96.0,90.81633,45.918365,88.888885,68.0,55.0,90.90909,41.414143,83.333336,87.5
86,85.41001064962727,97.82609,100.0,98.611115,87.80488,75.0,96.80851,94.50549,79.38145,71.13402,71.604935,92.92929,92.0,94.0,80.61224,97.0,94.94949,97.0,94.680855,92.708336,88.42105,72.043015,96.0,90.81633,45.918365,92.22222,68.0,59.0,88.888885,63.636364,83.333336,85.9375
127,85.94249201277955,97.82609,98.78049,98.611115,82.92683,72.22222,97.87234,93.40659,79.38145,69.07217,71.604935,93.93939,92.0,93.0,80.61224,99.0,94.94949,98.0,95.74468,92.708336,86.31579,72.043015,96.0,90.81633,46.938774,95.55556,68.0,92.0,88.888885,46.464645,83.333336,87.5
138,86.15548455804047,98.91304,98.78049,98.611115,85.36585,75.0,97.87234,93.40659,79.38145,69.07217,71.604935,92.92929,92.0,93.0,80.61224,99.0,93.93939,97.0,95.74468,92.708336,88.42105,72.043015,96.0,90.81633,63.265305,96.666664,68.0,64.0,90.90909,59.59596,83.333336,85.9375
141,86.22648207312744,97.82609,100.0,98.611115,85.36585,80.55556,97.87234,94.50549,80.41237,69.07217,71.604935,92.92929,93.0,93.0,80.61224,99.0,93.93939,98.0,96.80851,92.708336,87.36842,72.043015,96.0,90.81633,56.122448,95.55556,68.0,60.0,88.888885,69.69697,83.333336,85.9375
180,86.43947461838836,97.82609,98.78049,98.611115,85.36585,75.0,97.87234,90.10989,79.38145,71.13402,71.604935,92.92929,92.0,93.0,80.61224,99.0,93.93939,98.0,95.74468,92.708336,86.31579,72.043015,96.0,90.81633,51.02041,95.55556,68.0,78.0,88.888885,70.70707,83.333336,87.5
181,86.5814696485623,97.82609,98.78049,100.0,85.36585,72.22222,97.87234,91.20879,79.38145,71.13402,71.604935,92.92929,92.0,93.0,80.61224,98.0,92.92929,97.0,95.74468,92.708336,86.31579,72.043015,96.0,90.81633,46.938774,95.55556,68.0,89.0,88.888885,69.69697,83.333336,87.5
